Title ID	Region	Name	PKG direct link
PCSB00180	EU	Oddworld: Stranger's Wrath HD	http://zeus.dl.playstation.net/cdn/EP4134/PCSB00180_00/nWeDdtFKINeiSUPXiIdfWZPfJSHxBogNmTxaIjJEqZoeJgTwXZTbtKldBNlEtxUs.pkg
PCSF00446	EU	Freedom Wars	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00446_00/rzMueMJNXemMDsEKEquZcSYmgrBoJCuZpwjgbMCoELhJoiPFhydzoNQDwUkXllsM.pkg
PCSF00271	EU	Sly 3: Honour Among Thieves	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00271_00/wfRAGQEoMApitEJmaitNoqQfTIzyleIotUSbnaBoVDsMOnqLHTybUbQpPAAbMViN.pkg
PCSF00247	EU	The Jak and Daxter Trilogy	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00247_00/nvNgBxoDUgEzPxSREFrIcQJofqQFHlmWbaYVOWzGuBiQCPtyFWOhtMePrtkQXOXn.pkg
PCSF00243	EU	"Killzone™ Mercenary (EFIGS;DUT;POR)"	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00243_00/kUrQRHrASnoSVifLvUNYRODJFZnULJqkwIqiodZDBrhJEjNNEEGEHzzWePXjOtgO.pkg
PCSF00068	EU	Unit 13	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00068_00/ZeeNRtBrjXcCIsxIxCoRsWrqtlmRWECVtdBwwqlQKhBMEdnDCBArHwMUsassPCxP.pkg
PCSF00208	EU	Sly Cooper: Thieves in Time™ (ENG,FRE,DUT)	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00208_00/cFJanAGsTucUPkYkjujjxSGAUabDXWInzronWQKCabDSttkHrqQMbxvHNJUrSuGx.pkg
PCSF00024	EU	Gravity Rush	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00024_00/fSndUWlDQSWRWhQnmRatZeBUBoCzWFCkzCyBJFeiGOumyAStXgoANrosdheJxKHY.pkg
PCSB00975	EU	Adventures of Mana	http://zeus.dl.playstation.net/cdn/EP0082/PCSB00975_00/EP0082-PCSB00975_00-ADVENTURESOFMANA_bg_1_5aed8396547745055f306d6bef249a34a5fa6745.pkg
PCSB00898	EU	Attack on Titan: Wings of Freedom	http://zeus.dl.playstation.net/cdn/EP4108/PCSB00898_00/EP4108-PCSB00898_00-AT1EUHDDGAME0000_bg_1_409b9fd14d817bcb653743a14dc32691e7cb7a0b.pkg
PCSB00502	EU	Oddworld: New 'n' Tasty	http://zeus.dl.playstation.net/cdn/EP4134/PCSB00502_00/EP4134-PCSB00502_00-ODDWORLDNEWTASTY_bg_1_b169a0003c4fc60330e8fe3cb859ecf2b4389ff8.pkg
PCSF00476	EU	Tearaway	http://ares.dl.playstation.net/cdn/EP9000/PCSF00476_00/tZnOIExAbzIvRlEknwZRzrrwmNiuMOtIMnFuIBvqSOTcPOOgktHkIXtymHraEvcH.pkg
PCSF00482	EU	The Ratchet & Clank Trilogy	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00482_00/STRUmoEaQzlKIklyTEdofSBVQHKnEzbbubulwjNMjYrXREDadqSEUZeemhEQzvhB.pkg
PCSE00429	US	Tales of Hearts R	http://zeus.dl.playstation.net/cdn/UP0700/PCSE00429_00/ehjqaqTAsoyZPNVAdZbGGoOwgDufNEaMjDOgpHSbduyAJLtlpjToGWPbBzgKdVSk.pkg
PCSE00277	US	Rayman Legends	http://zeus.dl.playstation.net/cdn/UP0001/PCSE00277_00/cenikzcQtSdsaWFspwNJqXgfmUpOLiixETfjRkFakwZDKyRgKFcKPLlOfZrTTtEB.pkg
PCSA00011	US	Gravity Rush	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00011_00/dRICewDJtPZHtBCwPvyzdGdmGGVSLtvrJhEoxtJwhXYCFAVEUmOZaMCqmDyludGWPCrCJxIPINoaWQzBwVBJsnyulhZclhwSFdjnD.pkg
PCSA00147	US	Freedom Wars	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00147_00/itMmtKIhuwDQjwLENTzZlYyJLkayPODvkSvChAAAgYYXStgqUhJVAseXXXXSLQEg.pkg
PCSE00019	US	Dragon's Crown	http://zeus.dl.playstation.net/cdn/UP0005/PCSE00019_00/LjXFkKhBZRDpvkWanrsvnnlDfrRYKvvVNkZakuWWdMiMVAHDCXNuPojQiEKxDoMo.pkg
PCSE00020	US	Metal Gear Solid HD Collection	http://zeus.dl.playstation.net/cdn/UP0101/PCSE00020_00/XsGHXcWryxqMAbUdmZwovDCIuDItkXbvEwOklvERfAMiUAnJPFpJBYpxcurlIFIUNsGfwFsYZDhCGLortFPQZOQwbBlEkdzOntbfv.pkg
PCSE00231	US	Atelier Totori Plus: The Adventurer of Arland	http://zeus.dl.playstation.net/cdn/UP4108/PCSE00231_00/GVgSNpttWbjVLctyuWIsCcraJiNtEaBgkofhuFhTfvKUZzLekeJRzweHzzrtxuOI.pkg
PCSE00283	US	Final Fantasy X-2 HD Remaster	http://zeus.dl.playstation.net/cdn/UP0082/PCSE00283_00/iJNQrEUIprLsPZTKZbXbJJsbbSnCPhhondUfmWDBbHaCeKyPbhVAtbQFuPXdBfoL.pkg
PCSE00296	US	Atelier Meruru Plus: The Apprentice of Arland	http://zeus.dl.playstation.net/cdn/UP4108/PCSE00296_00/RzyQIuJeUtQOjFYMPtvXtilOrTWAaonufOJYzWRsnJVRdVAhPjheJawNiJxMscwU.pkg
PCSE00326	US	Hatsune Miku: Project DIVA f	http://zeus.dl.playstation.net/cdn/UP0177/PCSE00326_00/AqxurYMdaVTELtEtICaUuYWbHRBqQdTkfzWlmMdcWHGgiqxEHcEpXMElaBDTEqKK.pkg
PCSE00398	US	Senran Kagura: Shinovi Versus	http://zeus.dl.playstation.net/cdn/UP1023/PCSE00398_00/IfuzezuGLNZJuHEEXnnuzMmicTcEiyBaNanuZQhqigEykTkTMCtWyukQaQyBfmxS.pkg
PCSE00434	US	Hatsune Miku: Project DIVA f 2nd	http://zeus.dl.playstation.net/cdn/UP0177/PCSE00434_00/RmBuvEURXrLZyCTqWOOxYMlHiFSxLniCvupYFrgskYtqlLATqyXXMfiumwLbpBju.pkg
PCSE00443	US	"Hyperdimension Neptunia Re;Birth1"	http://zeus.dl.playstation.net/cdn/UP0031/PCSE00443_00/iJSWlfynbGxoaEocQfFAMYWlwKLACPsEQRwzkDSwhAAJiKfIVqToBtYUbfIyDPIB.pkg
PCSE00465	US	Sword Art Online -Hollow Fragment-	http://zeus.dl.playstation.net/cdn/UP0700/PCSE00465_00/RaUaPXKmPTcMvAajQFFtTkiZhFogStqzaRkZiqBZFQBoiLfUYXlPbAwKeRScpdBt.pkg
PCSE00466	US	Atelier Rorona Plus: The Alchemist of Arland	http://zeus.dl.playstation.net/cdn/UP4108/PCSE00466_00/XsSJSDjnTfUizohunXnSnREWggQHivHNldUsCgKjsQNHTCPjKSXBBHrMfUVkDSwC.pkg
PCSB00079	EU	Rayman Origins	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00079_00/qlZuAgYluBwonGoNYbdnShiZXywfhUTHqSRLscOEYpNUeNwhlKYDMmzTUVyifegg.pkg
PCSB00109	EU	New Little King's Stor	http://zeus.dl.playstation.net/cdn/EP0101/PCSB00109_00/tAdaplklYUAJfLzJPmUyLwuXFUYMIGYTvFQoRNSroneshZKtBOsnhSNnMOyEsiDj.pkg
PCSB00118	EU	Metal Gear Solid HD Collection	http://zeus.dl.playstation.net/cdn/EP0101/PCSB00118_00/ilCLoXJoDvyTeqtkUOXTcfUlxyTEajuvILtohVeKfClaphQbOiSCyXAFnMOppyjq.pkg
PCSB00189	EU	Guacamelee!	http://ares.dl.playstation.net/cdn/EP2145/PCSB00189_00/SbbaKVGkVPdjfFVkQKivpwobUpjfAqBsbJjEsCJOklQoNZDvttrgPPhcqRENCUlv.pkg
PCSB00245	EU	Persona 4 Golden	http://zeus.dl.playstation.net/cdn/EP1063/PCSB00245_00/LTncdecBVsTHeSLEZFxxfhjtwnXrTlNdtKcGdjlCsGnkqFcmlxNpAIQlJerDXONr.pkg
PCSB00318	EU	Hotline Miami	http://zeus.dl.playstation.net/cdn/EP3643/PCSB00318_00/DkxvaUFlqzWbAvJUIVSBYxXRLVESZGCRoPQqADOIhZyqTATbjrvdsBnCJESuQUFu.pkg
PCSB00346	EU	Danganronpa: Trigger Happy Havoc	http://zeus.dl.playstation.net/cdn/EP1063/PCSB00346_00/IHqWvWZPbvHKzxJHCFyJEuHqIYPhuGzDvGtTMNKXWRhuXxAYGdaxLzBvmjJzzwrQ.pkg
PCSB00353	EU	Batman: Arkham Origins Blackgate	http://zeus.dl.playstation.net/cdn/EP1018/PCSB00353_00/wZSXCjzkeWNgjtmqoNYkOdcdCaNlNDGhGwByQPbULRmRxlVlmrNbDXgyTwQRxoHW.pkg
PCSB00359	EU	Spelunky	http://zeus.dl.playstation.net/cdn/EP4407/PCSB00359_00/wXpVTLWIpyXQclkzqQSjFdwreyveLHVSgEZzziXkwjIgEcpxRgnMCpZthlWjgAWo.pkg
PCSB00361	EU	Lone Survivor: The Director's Cut	http://zeus.dl.playstation.net/cdn/EP4395/PCSB00361_00/XrSdjEAwZwYHvqOVeCkrlfLfhLDaPGvAtsYdmgJHsEOqnLaSGCgPjXqeiPcWqygj.pkg
PCSB00394	EU	Final Fantasy X-2 HD Remaster	http://zeus.dl.playstation.net/cdn/EP0082/PCSB00394_00/qhOLakgLgyWmwGoYCWalSdDzGeNnaTLeZvyzImWumJHcNoaNUODOHyEUFDosARxB.pkg
PCSB00404	EU	Muramasa Rebirth	http://zeus.dl.playstation.net/cdn/EP1024/PCSB00404_00/tHdESKkLQUyRPbnnbcLrHBeSJoJuEeOORhntkASuzTqXRnjsyFwrAEFssCpNKJab.pkg
PCSB00408	EU	Dragon's Crown	http://zeus.dl.playstation.net/cdn/EP1063/PCSB00408_00/MrJHxyztCfESmTIdDJnyuhFpgWSuBKsoZdEGCgezlaSZZGAUFEUyMKXCpEmJFTJS.pkg
PCSB00437	EU	Duke Nukem 3D: Megaton Edition	http://zeus.dl.playstation.net/cdn/EP3643/PCSB00437_00/azhVovzgCZWqkOwlIEONHIfwnuHpAVklAdUPxHEHXuoHKUXDexggRBHPvvpfgjiw.pkg
PCSB00456	EU	FEZ	http://zeus.dl.playstation.net/cdn/EP4427/PCSB00456_00/VXXbucZUPtJWAofoFjHgUOZlsfijPgPsuOADtfppUtyVNPAtpAadOElIgtYzGwYD.pkg
PCSB00514	EU	Danganronpa 2: Goodbye Despair	http://zeus.dl.playstation.net/cdn/EP1063/PCSB00514_00/RnPZTTIDKYoQOzURASJhMhyDRxTscAXuttuEjkxUSeRvefLrNsSKujuLbUcUZmxq.pkg
PCSB00548	EU	PixelJunk Shooter Ultimate	http://zeus.dl.playstation.net/cdn/EP4415/PCSB00548_00/juMFrfCdxgpGxaITrdWmcadUelsLosoCtvtpHMSRNTUCwdgdpcIOdIPCRIZlxxIM.pkg
PCSB00550	EU	Tales of Hearts R	http://zeus.dl.playstation.net/cdn/EP0700/PCSB00550_00/SvHlRpWkgomksmvGvPwOujFCOKNYuMcixsQdhzQMzKGkptGMyoAdivYrusUnWzdO.pkg
PCSB00579	EU	"Hyperdimension Neptunia Re;Birth1"	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00579_00/SVXYotxpijFYRkKBJIHrTbzXujTjDlvQCbnFzMqhKGaNiaDghOyLqKtKheuucvoC.pkg
PCSB00618	EU	Sword Art Online -Hollow Fragment-	http://zeus.dl.playstation.net/cdn/EP0700/PCSB00618_00/MxrdjiPJOqRuxmOCLnJMWodlzwMyrjPneJdGvZVwIJKpAkbaYGELIfrgIQiYWwTQ.pkg
PCSB00626	EU	"Hyperdimension Neptunia Re;Birth2"	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00626_00/VwKIVwdhwkVRuZnIPzBuDBBLfMungRHbplWCtqRQgpTwJVVtDUNLAUsFkaruyudV.pkg
PCSB00640	EU	Akiba's Trip: Undead & Undressed	http://zeus.dl.playstation.net/cdn/EP1063/PCSB00640_00/iaQyDptxiDcxwdTRlbeHFJfeYisvgkuqtVyMwdpJXGEByXoNcgqRHowMUooWibbN.pkg
PCSB00676	EU	The Binding Of Isaac: Rebirth	http://zeus.dl.playstation.net/cdn/EP2103/PCSB00676_00/icAYSaTaScCSRZYrtPQhpBqWocEWRrdWOGMzBTHKfLmnUsCQDeFezSmAJYqYuTOD.pkg
PCSB00694	EU	La-Mulana EX	http://zeus.dl.playstation.net/cdn/EP4034/PCSB00694_00/EP4034-PCSB00694_00-G000000000000627_bg_1_60d558c1756e4bff54574ae2b81c5ca377800048.pkg
PCSB00722	EU	Teslagrad	http://zeus.dl.playstation.net/cdn/EP4513/PCSB00722_00/EP4513-PCSB00722_00-TESLAGRAD0000001_bg_2_c9177d275f2c85d8eb8f36a4eca99e7a6c43db1d.pkg
PCSB00724	EU	"Steins;Gate"	http://zeus.dl.playstation.net/cdn/EP4293/PCSB00724_00/EP4293-PCSB00724_00-STEINSGATE00000E_bg_1_d3ce0b851e3af64930b66cef9919ba64344069e6.pkg
PCSB00740	EU	Amnesia: Memories	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00740_00/EP0031-PCSB00740_00-AMNESIAMEMORIES1_bg_1_7f062ef17d810c7795163b975adae77ba0577b4b.pkg
